Pae21_19331:19467	135	37	sp|Q9JMS8|YUAL_ECOLI	69	48.485	2.49e-05	73
Pae21_21080:21868	366	1	sp|Q47718|INSO2_ECOLI	154	53.279	1.23e-37	46
Pae21_21080:21868	465	106	sp|P75680|INSO1_ECOLI	120	49.167	6.72e-25	46
Pae21_21080:21868	788	528	sp|P75679|INSN1_ECOLI	101	55.172	7.71e-25	33
Pae21_21080:21868	788	537	sp|P39212|INSN2_ECOLI	86	52.381	4.50e-23	32
Pae21_21080:21868	495	1	sp|P11257|T341_ECOLX	174	29.480	6.33e-16	63
Pae21_21080:21868	501	1	sp|P0CF83|INSF5_ECOLI	173	31.214	7.24e-14	64
Pae21_21080:21868	501	1	sp|P0CF84|INSF6_ECOLI	173	31.214	7.24e-14	64
Pae21_21080:21868	501	1	sp|P0CF85|INSF_ECO11	173	31.214	7.24e-14	64
Pae21_21080:21868	501	1	sp|P0CF81|INSF3_ECOLI	173	31.214	7.24e-14	64
Pae21_21080:21868	501	1	sp|P0CF82|INSF4_ECOLI	173	31.214	7.24e-14	64
Pae21_21080:21868	501	1	sp|P0CF80|INSF2_ECOLI	173	31.214	7.24e-14	64
Pae21_21080:21868	501	1	sp|P0CF79|INSF1_ECOLI	173	31.214	7.24e-14	64
Pae21_21080:21868	495	1	sp|P19769|INSK_ECOLI	166	26.946	5.32e-13	63
Pae21_21080:21868	501	1	sp|Q9JMT3|INSF7_ECOLI	173	30.636	2.05e-12	64
Pae21_21080:21868	779	534	sp|Q79E92|YKGN_ECOLI	83	31.707	4.51e-04	31
Pae21_57719:62530	665	4267	sp|Q0T963|CDIA_ECOL5	1228	31.912	2.61e-90	86
Pae21_57719:62530	2030	4756	sp|Q0T963|CDIA_ECOL5	1239	26.353	4.28e-13	86
Pae21_57719:62530	2441	4810	sp|Q0T963|CDIA_ECOL5	1179	25.953	7.12e-09	86
Pae21_57719:62530	1286	3226	sp|Q0T963|CDIA_ECOL5	1501	24.181	8.09e-07	86
Pae21_57719:62530	665	4267	sp|B3BM48|CDIA1_ECO5C	1246	31.935	2.40e-89	75
Pae21_57719:62530	2165	4117	sp|B3BM48|CDIA1_ECO5C	1299	24.932	8.51e-06	75
Pae21_57719:62530	665	4267	sp|Q3YL96|CDIA_ECOLX	1230	31.299	2.20e-88	86
Pae21_57719:62530	2441	4810	sp|Q3YL96|CDIA_ECOLX	1181	25.415	2.53e-07	86
Pae21_57719:62530	1403	3190	sp|Q3YL96|CDIA_ECOLX	1489	25.487	4.88e-06	86
Pae21_57719:62530	665	4267	sp|P0DSI1|CDIA_ECONC	1250	31.255	5.89e-84	75
Pae21_57719:62530	1286	3226	sp|P0DSI1|CDIA_ECONC	1523	23.639	1.83e-04	75
